% Graph saved at Sat Feb 02 2019 23:12:35 GMT-0800 (Pacific Standard Time)
n -10.176028481012658 415.9966626213592
n 64.03283227848101 496.09375
n 105.01384493670886 392.93841019417476
n 119.41257911392405 505.80248786407765
n 167.03916139240508 498.5209344660194
n 161.50118670886076 385.6568567961165
n 25.267009493670884 315.2685072815534
n 273.3682753164557 505.80248786407765
n 212.45055379746836 385.6568567961165
n 301.0581487341772 388.08404126213594
n 404.0644778481012 388.08404126213594
n 560.2353639240506 507.0160800970874
n 533.653085443038 395.3655946601942
n 614.5075158227849 497.3073422330097
n 593.4632120253165 386.87044902912623
n 690.9315664556963 89.54035194174757
n 240.14042721518987 278.8607402912621
n 253.43156645569618 385.6568567961165
n 202.48219936708858 281.28792475728153
n 284.4442246835443 277.6471480582524
n 457.2290348101266 392.93841019417476
n 378.5897943037975 265.51122572815535
n 427.3239715189874 259.44326456310677
n 477.16574367088606 260.6568567961165
n 561.3429588607595 258.22967233009706
n 330.96321202531647 275.219963592233
n 327.64042721518985 168.42384708737865
n 273.3682753164557 176.91899271844662
n 379.6973892405063 168.42384708737865
n 566.8809335443037 153.86074029126215
n 96.15308544303797 303.1325849514563
n 81.75435126582278 220.60831310679612
n 19.72903481012658 193.90928398058253
n 178.1151107594937 193.90928398058253
n 185.8682753164557 84.68598300970874
e 0 1 0
e 1 2 0
e 1 3 -1
e 3 4 0
e 2 5 0
e 3 5 -1
e 2 4 -1
e 0 6 0
e 4 7 -2
e 5 8 -1
e 9 7 0
e 7 9 0
e 9 10 0
e 7 11 -1
e 11 13 0
e 12 14 0
e 11 14 -1
e 12 13 -1
e 13 15 -2
e 14 15 -1
e 8 16 -1
e 8 17 0
e 17 9 0
e 18 17 -1
e 18 16 0
e 16 19 -1
e 10 20 0
e 21 22 0
e 22 23 0
e 22 20 -1
e 10 23 -1
e 20 12 -1
e 23 24 0
e 19 25 0
e 19 26 -1
e 27 25 -1
e 27 26 0
e 25 21 0
e 26 28 0
e 28 21 0
e 21 28 0
e 28 29 -1
e 29 24 0
e 24 29 0
e 6 30 -1
e 30 31 0
e 31 30 0
e 30 18 0
e 24 15 -1
e 6 32 -1
e 32 31 0
e 31 33 0
e 33 27 -1
e 33 34 0
e 34 33 0
e 34 15 -3
e 32 34 -2
e 29 15 -2
